fecha;equipo local; equipo visitante; espectadores; competicion;resultados parciales
21/2/2023;CeltadeVigo;RealMadrid;39322;Liga;[22-1-0]
2/7/2023;RealMadrid;Getafe;37999;Amistoso;[5-1-0]
29/1/2023;Barcelona;AthleticClub;17466;Amistoso;[24-0-1,51-1-1,54-2-1,76-2-2,96-3-2]
29/12/2023;Getafe;AtléticodeMadrid;32085;Supercopa;[19-1-0,28-1-1,51-1-2,69-1-3,77-2-3]
29/10/2023;Mallorca;AtléticodeMadrid;9291;Amistoso;[17-0-1,30-1-1,51-1-2]
25/3/2023;Alavés;Mallorca;31098;Supercopa;[26-0-1,27-0-2]
25/7/2023;Getafe;RayoVallecano;43483;Liga;[6-0-1,22-0-2,51-0-3]
7/5/2023;Villarreal;RealSociedad;6543;Amistoso;[26-0-1]
8/10/2023;RealMadrid;RayoVallecano;17314;CopaDelRey;[28-0-1,34-1-1,53-2-1]
23/8/2023;RealMadrid;Granada;9188;Amistoso;[3-0-1]
12/2/2023;Levante;AthleticClub;49815;Liga;[12-0-1]
1/5/2023;AtléticodeMadrid;RayoVallecano;5823;CopaDelRey;[26-0-1,35-0-2,46-0-3]
7/5/2023;RealBetis;RealMadrid;44389;CopaDelRey;[11-0-1,17-0-2]
24/7/2023;Barcelona;Osasuna;10782;Liga;[9-1-0,37-2-0]
16/4/2023;Barcelona;Valencia;27030;CopaDelRey;[1-0-1,20-0-2]
28/3/2023;CeltadeVigo;RayoVallecano;27500;Amistoso;[6-0-1,34-0-2,48-0-3]
4/3/2023;Granada;Valencia;43762;Amistoso;[22-0-1]
17/5/2023;Barcelona;AtléticodeMadrid;19153;Supercopa;[11-0-1,17-0-2,38-1-2]
17/3/2023;CeltadeVigo;Elche;18063;CopaDelRey;[13-0-1,41-1-1]
20/11/2023;Espanyol;Elche;13030;Amistoso;[13-0-1,21-1-1,46-2-1,55-3-1]
14/8/2023;Levante;Sevilla;30060;Amistoso;[8-0-1,9-0-2]
4/11/2023;AthleticClub;Sevilla;23433;CopaDelRey;[14-1-0,38-2-0,43-2-1,46-2-2]
9/3/2023;Sevilla;RealSociedad;35969;Liga;[15-0-1]
15/7/2023;Elche;Alavés;14898;Liga;[15-0-1,28-0-2,36-0-3]
6/1/2023;CeltadeVigo;Levante;43904;Liga;[17-0-1,43-0-2]
12/1/2023;RealMadrid;Osasuna;29801;Supercopa;[19-0-1,23-0-2]
11/11/2023;RealSociedad;Getafe;21342;Supercopa;[12-1-0,19-2-0,44-2-1,54-2-2,78-2-3]
16/1/2023;Mallorca;RealMadrid;35412;Amistoso;[17-0-1,47-1-1,52-2-1,80-3-1]
20/3/2023;Granada;RayoVallecano;44857;Liga;[9-1-0,23-2-0]
28/2/2023;RealMadrid;RayoVallecano;30547;Liga;[23-1-0,34-1-1,62-1-2]
12/12/2023;Alavés;Granada;8894;Supercopa;[13-0-1,41-1-1,58-2-1,84-2-2,99-2-3]
4/3/2023;Getafe;Sevilla;13484;Amistoso;[19-0-1]
28/1/2023;Getafe;RayoVallecano;14238;Amistoso;[24-1-0,28-2-0,44-2-1,65-2-2,72-2-3]
31/7/2023;AthleticClub;Elche;30590;Amistoso;[10-0-1,39-0-2]
15/2/2023;Getafe;Barcelona;17713;CopaDelRey;[20-1-0]
7/6/2023;Granada;Villarreal;17655;Supercopa;[20-0-1,49-0-2,73-1-2,97-2-2]
15/9/2023;RealMadrid;Espanyol;23660;CopaDelRey;[23-1-0,29-2-0,47-2-1,76-2-2,78-2-3]
14/7/2023;Mallorca;Sevilla;31645;Supercopa;[13-0-1,37-1-1,64-2-1]
13/7/2023;RealBetis;Espanyol;16854;Amistoso;[14-1-0,42-1-1,65-1-2,85-1-3,101-2-3]
30/10/2023;RayoVallecano;Elche;32683;Supercopa;[1-1-0]
19/3/2023;RayoVallecano;AthleticClub;7211;Liga;[15-0-1,21-0-2,51-1-2]
26/12/2023;AthleticClub;Barcelona;30448;Liga;[28-0-1,37-1-1]
