nombre;fecha;puesto;pais;duracion;tiros1;tiros2;tiros3;puntos1;puntos2;puntos3
Maya Moore;31/05/2001;PIVOT;AUSTRALIA;36;11;21;7;9;22;9
Maya Moore;02/06/2001;PIVOT;AUSTRALIA;43;6;24;7;6;24;9
Maya Moore;07/06/2001;PIVOT;AUSTRALIA;35;7;21;9;7;26;15
Maya Moore;08/06/2001;PIVOT;AUSTRALIA;31;3;19;8;3;22;15
Maya Moore;10/06/2001;PIVOT;AUSTRALIA;35;3;14;3;3;10;3
Maya Moore;14/06/2001;PIVOT;AUSTRALIA;34;6;18;4;4;20;6
Maya Moore;24/08/2001;PIVOT;AUSTRALIA;40;2;19;5;1;16;3
Maya Moore;29/08/2001;PIVOT;AUSTRALIA;33;0;15;4;0;12;0
Maya Moore;31/08/2001;PIVOT;AUSTRALIA;40;3;17;4;2;10;0
Maya Moore;05/09/2001;PIVOT;AUSTRALIA;34;4;11;9;4;4;6
Maya Moore;07/09/2001;PIVOT;AUSTRALIA;26;0;18;9;0;12;6
Maya Moore;09/09/2001;PIVOT;AUSTRALIA;29;6;16;6;4;24;9
Maya Moore;10/09/2001;PIVOT;AUSTRALIA;37;4;26;10;4;30;6
Maya Moore;12/09/2001;PIVOT;AUSTRALIA;35;3;15;5;3;14;9
Maya Moore;14/09/2001;PIVOT;AUSTRALIA;37;6;16;4;6;18;3
Maya Moore;19/09/2001;PIVOT;AUSTRALIA;38;3;13;4;2;16;6
Maya Moore;21/09/2001;PIVOT;AUSTRALIA;34;7;12;3;6;8;0
Maya Moore;04/12/2001;PIVOT;AUSTRALIA;35;8;18;4;7;12;6
Maya Moore;07/12/2001;PIVOT;AUSTRALIA;33;6;20;8;5;18;6
Maya Moore;09/12/2001;PIVOT;AUSTRALIA;35;7;23;7;7;22;3
Maya Moore;11/12/2001;PIVOT;AUSTRALIA;37;8;21;4;8;24;3
Maya Moore;14/12/2001;PIVOT;AUSTRALIA;31;6;21;4;5;20;3
Maya Moore;17/12/2001;PIVOT;AUSTRALIA;37;13;18;5;11;20;3
Maya Moore;23/12/2001;PIVOT;AUSTRALIA;46;11;30;9;9;32;21
Maya Moore;26/12/2001;PIVOT;AUSTRALIA;35;2;14;5;2;10;0
Maya Moore;28/12/2001;PIVOT;AUSTRALIA;32;6;17;1;5;12;0
Maya Moore;01/01/2002;PIVOT;AUSTRALIA;31;4;20;5;4;14;6
Maya Moore;13/03/2002;PIVOT;AUSTRALIA;35;8;22;7;8;28;12
Maya Moore;16/03/2002;PIVOT;AUSTRALIA;34;5;15;5;5;10;0
Maya Moore;18/03/2002;PIVOT;AUSTRALIA;32;7;14;3;5;12;0
Maya Moore;20/03/2002;PIVOT;AUSTRALIA;37;5;20;6;5;22;9
Maya Moore;23/03/2002;PIVOT;AUSTRALIA;32;1;19;5;1;18;3
Maya Moore;26/03/2002;PIVOT;AUSTRALIA;31;2;14;3;2;16;6
Maya Moore;27/03/2002;PIVOT;AUSTRALIA;31;8;12;3;7;12;0
Skylar Diggins;01/06/2001;PIVOT;NUEVA ZELANDA;32;6;17;5;6;12;6
Skylar Diggins;07/06/2001;PIVOT;NUEVA ZELANDA;28;11;15;4;6;14;3
Skylar Diggins;12/06/2001;PIVOT;NUEVA ZELANDA;35;0;12;2;0;16;3
Skylar Diggins;14/06/2001;PIVOT;NUEVA ZELANDA;32;3;18;6;2;16;6
